Observation station;Year;Month;Day;Global radiation mean [W/m2]
Sotkamo Kuolaniemi;2005;3;2;66,2
Sotkamo Kuolaniemi;2005;3;3;79
Sotkamo Kuolaniemi;2005;3;4;63,4
Sotkamo Kuolaniemi;2005;3;5;81,7
Sotkamo Kuolaniemi;2005;3;6;85,1
Sotkamo Kuolaniemi;2005;3;7;41,6
Sotkamo Kuolaniemi;2005;3;8;96,9
Sotkamo Kuolaniemi;2005;3;9;100,7
Sotkamo Kuolaniemi;2005;3;10;102,5
Sotkamo Kuolaniemi;2005;3;11;81,6
Sotkamo Kuolaniemi;2005;3;12;68
Sotkamo Kuolaniemi;2005;3;13;104,2
Sotkamo Kuolaniemi;2005;3;14;97,6
Sotkamo Kuolaniemi;2005;3;15;102,6
Sotkamo Kuolaniemi;2005;3;16;102,9
Sotkamo Kuolaniemi;2005;3;17;79,2
Sotkamo Kuolaniemi;2005;3;18;123,3
Sotkamo Kuolaniemi;2005;3;19;112,9
Sotkamo Kuolaniemi;2005;3;20;100
Sotkamo Kuolaniemi;2005;3;21;120
Sotkamo Kuolaniemi;2005;3;22;148,5
Sotkamo Kuolaniemi;2005;3;23;112,8
Sotkamo Kuolaniemi;2005;3;24;47,8
Sotkamo Kuolaniemi;2005;3;25;50
Sotkamo Kuolaniemi;2005;3;26;129
Sotkamo Kuolaniemi;2005;3;27;123,9
Sotkamo Kuolaniemi;2005;3;28;155,5
Sotkamo Kuolaniemi;2005;3;29;156,5
Sotkamo Kuolaniemi;2005;3;30;137,8
Sotkamo Kuolaniemi;2005;3;31;163,3
Sotkamo Kuolaniemi;2005;4;1;163,2
Sotkamo Kuolaniemi;2005;4;2;100,9
Sotkamo Kuolaniemi;2005;4;3;182,5
Sotkamo Kuolaniemi;2005;4;4;143
Sotkamo Kuolaniemi;2005;4;5;122,3
Sotkamo Kuolaniemi;2005;4;6;165,8
Sotkamo Kuolaniemi;2005;4;7;109,5
Sotkamo Kuolaniemi;2005;4;8;65,8
Sotkamo Kuolaniemi;2005;4;9;94,4
Sotkamo Kuolaniemi;2005;4;10;174,7
Sotkamo Kuolaniemi;2005;4;11;49,3
Sotkamo Kuolaniemi;2005;4;12;158,1
Sotkamo Kuolaniemi;2005;4;13;162,2
Sotkamo Kuolaniemi;2005;4;14;175
Sotkamo Kuolaniemi;2005;4;15;128,2
Sotkamo Kuolaniemi;2005;4;16;211
Sotkamo Kuolaniemi;2005;4;17;190,4
Sotkamo Kuolaniemi;2005;4;18;108,8
Sotkamo Kuolaniemi;2005;4;19;167,4
Sotkamo Kuolaniemi;2005;4;20;163,5
Sotkamo Kuolaniemi;2005;4;21;192,9
Sotkamo Kuolaniemi;2005;4;22;124,9
