Observation station;Year;Month;Day;Time [Local time];Global radiation mean [W/m2]
Vantaa Helsinki-Vantaa airport;2017;2;18;00:00;57,6
Vantaa Helsinki-Vantaa airport;2017;2;19;00:00;17,2
Vantaa Helsinki-Vantaa airport;2017;2;20;00:00;23,5
Vantaa Helsinki-Vantaa airport;2017;2;21;00:00;75,5
Vantaa Helsinki-Vantaa airport;2017;2;22;00:00;39,4
Vantaa Helsinki-Vantaa airport;2017;2;23;00:00;37,1
Vantaa Helsinki-Vantaa airport;2017;2;24;00:00;64,6
Vantaa Helsinki-Vantaa airport;2017;2;25;00:00;73
Vantaa Helsinki-Vantaa airport;2017;2;26;00:00;33,1
Vantaa Helsinki-Vantaa airport;2017;2;27;00:00;38,2
Vantaa Helsinki-Vantaa airport;2017;2;28;00:00;39,3
Vantaa Helsinki-Vantaa airport;2017;3;1;00:00;32
Vantaa Helsinki-Vantaa airport;2017;3;2;00:00;19,2
Vantaa Helsinki-Vantaa airport;2017;3;3;00:00;23,4
Vantaa Helsinki-Vantaa airport;2017;3;4;00:00;38,9
Vantaa Helsinki-Vantaa airport;2017;3;5;00:00;111,2
Vantaa Helsinki-Vantaa airport;2017;3;6;00:00;115,8
Vantaa Helsinki-Vantaa airport;2017;3;7;00:00;22,5
Vantaa Helsinki-Vantaa airport;2017;3;8;00:00;25,4
Vantaa Helsinki-Vantaa airport;2017;3;9;00:00;35,6
Vantaa Helsinki-Vantaa airport;2017;3;10;00:00;77
Vantaa Helsinki-Vantaa airport;2017;3;11;00:00;123,8
Vantaa Helsinki-Vantaa airport;2017;3;12;00:00;126,4
Vantaa Helsinki-Vantaa airport;2017;3;13;00:00;60,3
Vantaa Helsinki-Vantaa airport;2017;3;14;00:00;22,2
Vantaa Helsinki-Vantaa airport;2017;3;15;00:00;109,6
Vantaa Helsinki-Vantaa airport;2017;3;16;00:00;144,9
Vantaa Helsinki-Vantaa airport;2017;3;17;00:00;22,1
Vantaa Helsinki-Vantaa airport;2017;3;18;00:00;40
Vantaa Helsinki-Vantaa airport;2017;3;19;00:00;47
Vantaa Helsinki-Vantaa airport;2017;3;20;00:00;123,4
Vantaa Helsinki-Vantaa airport;2017;3;21;00:00;22,6
Vantaa Helsinki-Vantaa airport;2017;3;22;00:00;59,2
Vantaa Helsinki-Vantaa airport;2017;3;23;00:00;161,8
Vantaa Helsinki-Vantaa airport;2017;3;24;00:00;139,5
Vantaa Helsinki-Vantaa airport;2017;3;25;00:00;56,5
Vantaa Helsinki-Vantaa airport;2017;3;26;00:00;88,4
Vantaa Helsinki-Vantaa airport;2017;3;27;00:00;130,4
Vantaa Helsinki-Vantaa airport;2017;3;28;00:00;146,1
Vantaa Helsinki-Vantaa airport;2017;3;29;00:00;181,3
Vantaa Helsinki-Vantaa airport;2017;3;30;00:00;149,4
Vantaa Helsinki-Vantaa airport;2017;3;31;00:00;73,6
Vantaa Helsinki-Vantaa airport;2017;4;1;00:00;23,7
Vantaa Helsinki-Vantaa airport;2017;4;2;00:00;58,7
Vantaa Helsinki-Vantaa airport;2017;4;3;00:00;43,4
Vantaa Helsinki-Vantaa airport;2017;4;4;00:00;107,7
Vantaa Helsinki-Vantaa airport;2017;4;5;00:00;69,5
Vantaa Helsinki-Vantaa airport;2017;4;6;00:00;176,6
Vantaa Helsinki-Vantaa airport;2017;4;7;00:00;85,4
Vantaa Helsinki-Vantaa airport;2017;4;8;00:00;149,7
Vantaa Helsinki-Vantaa airport;2017;4;9;00:00;158,1
Vantaa Helsinki-Vantaa airport;2017;4;10;00:00;130,4
Vantaa Helsinki-Vantaa airport;2017;4;11;00:00;142,8
Vantaa Helsinki-Vantaa airport;2017;4;12;00:00;181,2
Vantaa Helsinki-Vantaa airport;2017;4;13;00:00;111,7
Vantaa Helsinki-Vantaa airport;2017;4;14;00:00;185,5
Vantaa Helsinki-Vantaa airport;2017;4;15;00:00;161,5
Vantaa Helsinki-Vantaa airport;2017;4;16;00:00;144,5
Vantaa Helsinki-Vantaa airport;2017;4;17;00:00;187,3
Vantaa Helsinki-Vantaa airport;2017;4;18;00:00;238,7
Vantaa Helsinki-Vantaa airport;2017;4;19;00:00;217
Vantaa Helsinki-Vantaa airport;2017;4;20;00:00;166,1
Vantaa Helsinki-Vantaa airport;2017;4;21;00:00;171,8
Vantaa Helsinki-Vantaa airport;2017;4;22;00:00;159,8
Vantaa Helsinki-Vantaa airport;2017;4;23;00:00;131,5
Vantaa Helsinki-Vantaa airport;2017;4;24;00:00;211,4
Vantaa Helsinki-Vantaa airport;2017;4;25;00:00;78,4
Vantaa Helsinki-Vantaa airport;2017;4;26;00:00;153
Vantaa Helsinki-Vantaa airport;2017;4;27;00:00;152,6
Vantaa Helsinki-Vantaa airport;2017;4;28;00:00;252,7
Vantaa Helsinki-Vantaa airport;2017;4;29;00:00;66,1
Vantaa Helsinki-Vantaa airport;2017;4;30;00:00;128,3
Vantaa Helsinki-Vantaa airport;2017;5;1;00:00;240,3
Vantaa Helsinki-Vantaa airport;2017;5;2;00:00;285,9
Vantaa Helsinki-Vantaa airport;2017;5;3;00:00;294,5
Vantaa Helsinki-Vantaa airport;2017;5;4;00:00;298,2
Vantaa Helsinki-Vantaa airport;2017;5;5;00:00;265,2
Vantaa Helsinki-Vantaa airport;2017;5;6;00:00;281,7
Vantaa Helsinki-Vantaa airport;2017;5;7;00:00;244,2
Vantaa Helsinki-Vantaa airport;2017;5;8;00:00;209,8
Vantaa Helsinki-Vantaa airport;2017;5;9;00:00;188,6
Vantaa Helsinki-Vantaa airport;2017;5;10;00:00;197,4
Vantaa Helsinki-Vantaa airport;2017;5;11;00:00;228,2
Vantaa Helsinki-Vantaa airport;2017;5;12;00:00;311
Vantaa Helsinki-Vantaa airport;2017;5;13;00:00;301,6
Vantaa Helsinki-Vantaa airport;2017;5;14;00:00;298,6
Vantaa Helsinki-Vantaa airport;2017;5;15;00:00;186
Vantaa Helsinki-Vantaa airport;2017;5;16;00:00;325,1
Vantaa Helsinki-Vantaa airport;2017;5;17;00:00;132,6
Vantaa Helsinki-Vantaa airport;2017;5;18;00:00;108,2
Vantaa Helsinki-Vantaa airport;2017;5;19;00:00;295,4
Vantaa Helsinki-Vantaa airport;2017;5;20;00:00;234,8
Vantaa Helsinki-Vantaa airport;2017;5;21;00:00;323
Vantaa Helsinki-Vantaa airport;2017;5;22;00:00;202,1
Vantaa Helsinki-Vantaa airport;2017;5;23;00:00;252,4
Vantaa Helsinki-Vantaa airport;2017;5;24;00:00;235,4
Vantaa Helsinki-Vantaa airport;2017;5;25;00:00;236,3
Vantaa Helsinki-Vantaa airport;2017;5;26;00:00;256,6
Vantaa Helsinki-Vantaa airport;2017;5;27;00:00;207,8
Vantaa Helsinki-Vantaa airport;2017;5;28;00:00;271,6
Vantaa Helsinki-Vantaa airport;2017;5;29;00:00;287,5
Vantaa Helsinki-Vantaa airport;2017;5;30;00:00;247,3
Vantaa Helsinki-Vantaa airport;2017;5;31;00:00;146
Vantaa Helsinki-Vantaa airport;2017;6;1;00:00;245,9
Vantaa Helsinki-Vantaa airport;2017;6;2;00:00;172,5
Vantaa Helsinki-Vantaa airport;2017;6;3;00:00;332,4
Vantaa Helsinki-Vantaa airport;2017;6;4;00:00;349,4
